Blog	second	here	music	until	want	feature	how	series	re	tech	best	never	much	life	things	had	right	old	people	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	future	say	saw	take	drive	ways	going	where	many	photos	technology	being	around	world	power	favorite	her	am	an	as	original	tv	th	small	past	hours	social	more	company	its	always	found	really	number	self	also	play	cover	set	see	using	readers	d	be	by	into	line	up	us	ago	try	video	let	great	makes	next	doing	could	start	system	face	should	hope	email	ve	off	less	web	become	does	told	work	after	then	them	they	another	what	do	away	we	com	has	voice	night	security	post	months	way	was	together	change	live	can	write	product	still	not	now	january	year	than	online	america	only	between	these	media	real	read	early	amp	t	business	your	lot	trying	since	month	very	family	site	tried	help	actually	put	latest	pretty	during	x	won	probably	both	look	while	used	user	game	some	doesn	e	go	facebook	win	camera	started	links	including	special	times	need	talk	based	she	problem	i	well	page	twitter	home	he	friends	even	new	ever	tell	give	president	before	better	went	side	mean	content	isn	seem	don	m	stop	bad	decided	said	against	appeared	three	if	make	left	just	yet	down	finally	me	did	run	making	sunday	may	man	maybe	nbsp	interesting	thing	think	first	little	anyone	were	especially	show	black	get	morning	enough	reading	according	called	mark	those	different	pay	same	money	videos	again	important	u	steve	search	two	share	through	good	everyone	house	hard	idea	least	b	most	find	please	point	fun	big	bit	google	often	back	others	ll	day	have	almost	thought	like	about	buy	but	under	every	would	my	keep	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	report	full	news	been	several	everything	no	when	posts	today	trump	huge	name	state	turn	place	any	ideas	sure	later	come	case	myself	week	without	blog	or	there	all	list	design	might	feel	story	nothing	part	his	hit	him	wrote	are	recently	attention	questions	question	long	once	app	use	from	few	something	our	out	their	which	who	why	view	stories	job	last	will	gets	other	smart	know	because	getting	own	made	book
Deadspin	1	2	2	0	0	0	0	0	0	0	5	1	1	0	0	4	2	0	0	0	5	8	0	1	0	0	3	1	0	0	0	0	10	0	3	0	0	0	2	0	1	1	2	0	0	1	1	1	0	1	0	0	6	10	0	0	0	0	0	0	0	31	0	5	0	0	1	2	0	1	1	0	0	0	3	0	2	3	2	5	0	4	1	0	4	0	1	1	0	1	0	0	3	0	0	1	0	0	2	1	0	0	1	3	0	0	8	2	0	1	1	6	1	0	4	0	4	0	3	0	0	0	3	6	0	0	0	0	0	0	1	5	3	0	3	4	0	2	2	1	0	0	0	24	2	0	1	0	4	0	3	0	1	0	1	0	1	0	0	2	0	0	2	0	1	1	0	1	3	0	0	11	4	0	0	1	0	5	0	0	0	1	0	1	0	0	0	0	0	2	6	0	0	0	6	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	2	1	1	1	0	1	8	0	0	0	0	0	5	0	2	0	0	1	0	1	6	1	2	3	2	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	2	2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	2	0	1	1	2	0	0	3	3	0	7	0	1	0	0	1	4	2	0	0	0	2	0	0	2	1	0	0	3	0	0	0	0	1	0	0	2	1	0	2	0	0	0	4	0	0	2	0	0	1	1	0	0	1	0	0	2	2	9	2	0	1	0	1	1	0	11	2	0	1	4	0	0	0	0	1	0	0	1	9	0	1	0	4	4	2	1	2	0	0	0	4	0	1	1	1	0	2	1	2	0	0
The Dish	0	2	0	0	1	0	6	0	2	0	0	2	2	1	3	4	0	3	5	2	6	0	7	0	0	0	6	11	3	2	1	1	10	2	0	1	0	1	0	0	2	0	3	1	0	0	4	7	0	2	1	2	9	21	1	1	0	0	3	0	0	7	0	0	1	1	0	1	0	0	0	1	0	0	0	7	1	11	12	1	0	7	3	2	0	0	0	0	0	1	1	1	0	1	3	3	4	3	3	0	1	0	1	0	1	3	2	7	0	8	2	9	3	0	18	1	8	1	0	0	4	0	0	10	0	0	1	4	0	0	2	6	2	0	3	4	0	2	3	1	5	0	1	9	1	0	15	0	12	0	0	2	0	1	0	2	0	0	0	0	2	0	2	0	1	2	0	3	0	0	0	1	1	1	0	3	0	1	2	1	1	1	0	1	0	2	0	1	1	38	1	0	0	1	3	1	4	2	0	0	0	1	1	2	1	0	0	2	1	1	4	1	0	1	0	4	1	0	1	2	2	0	4	1	1	0	11	2	0	0	0	1	1	1	0	0	1	1	4	2	2	1	0	0	0	2	2	1	3	2	0	0	2	1	0	2	1	0	0	0	3	0	0	1	0	4	0	0	2	1	3	2	0	5	2	3	0	0	2	0	0	2	3	1	3	9	5	1	2	0	9	0	10	2	1	1	17	1	3	3	2	0	0	0	0	1	0	0	0	1	1	1	0	0	2	6	0	0	6	5	4	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	2	6	3	3	6	0	0	1	0	3	2	3	11	0	0	1	7	4	0	1	2	6	0	0	1	13	0	0	4	3	7	2	5	3	2	0	1	3	5	0	2	0	6	1	0	1	2	3
kottke.org	16	27	22	4	15	2	56	12	60	4	38	18	28	15	38	40	18	18	59	3	79	0	14	4	11	1	62	24	17	4	1	7	83	3	9	12	8	8	4	9	14	21	16	15	6	14	11	31	6	18	5	3	82	129	9	14	4	17	11	3	8	60	1	32	14	4	23	4	6	49	11	2	6	31	8	9	21	92	96	28	6	40	36	5	5	31	9	26	8	8	6	17	5	4	7	15	5	4	38	23	10	18	6	9	4	15	16	23	37	120	7	91	49	13	100	2	45	5	7	2	5	3	39	124	4	8	8	69	6	3	18	90	20	2	47	34	5	7	22	17	25	27	8	23	8	6	125	1	36	11	9	13	3	22	2	7	4	3	15	7	2	10	5	7	2	9	15	17	7	13	1	12	39	4	3	15	11	4	3	10	2	3	4	8	11	9	6	15	5	272	22	2	9	10	63	7	46	45	17	7	4	12	18	17	7	3	11	3	9	6	39	16	4	1	2	10	9	2	8	61	26	3	65	5	13	3	36	16	5	9	0	9	17	21	275	4	22	21	27	18	4	35	7	13	20	28	4	11	15	3	12	5	24	30	2	23	4	2	13	7	1	0	3	20	1	16	29	5	2	7	5	3	22	32	8	0	12	3	7	7	3	8	25	6	16	6	79	16	18	85	90	2	164	6	25	37	75	7	8	22	27	13	1	10	3	7	7	8	13	16	3	7	1	11	3	46	3	8	45	46	4	5	4	3	5	7	4	9	14	4	3	6	10	10	4	7	12	8	85	40	75	5	22	11	15	6	5	23	62	3	10	9	119	2	7	3	10	12	6	0	14	118	12	18	24	50	55	41	56	15	5	9	4	19	28	6	29	3	31	37	3	20	27	13
O'Reilly Radar	0	0	2	1	0	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	1	1	0	2	3	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	7	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	6	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Lifehack	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	2	0	0	1	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lifehacker	2	1	1	1	5	0	11	0	12	0	2	2	3	0	0	3	1	0	0	0	6	0	0	2	0	0	5	1	0	0	0	0	8	0	0	0	0	1	0	0	2	2	4	0	0	0	1	1	0	1	0	0	2	1	0	0	0	1	0	1	0	30	0	5	3	0	1	0	1	0	2	0	2	2	1	0	0	2	4	3	0	2	2	0	3	0	0	3	0	2	1	1	3	1	2	3	0	1	5	8	0	0	1	2	0	2	3	2	3	6	1	6	4	0	10	0	2	0	0	2	1	0	3	1	0	0	1	4	0	0	2	5	4	0	5	5	0	1	2	0	3	0	0	25	0	2	3	0	17	3	3	0	0	1	2	0	0	2	1	0	0	1	1	0	0	2	1	1	3	1	2	3	1	0	0	5	0	0	0	0	0	0	0	0	2	2	0	0	0	8	1	0	0	1	0	1	1	6	2	1	2	0	2	0	0	0	2	0	0	0	1	1	1	4	1	0	0	0	0	9	4	0	2	0	1	0	2	1	1	2	0	0	0	1	0	0	0	1	2	3	0	1	1	1	1	3	0	0	1	0	1	0	0	0	1	0	3	0	1	0	0	0	0	2	0	0	3	2	2	2	0	0	0	1	0	0	1	0	0	2	0	2	2	0	6	4	7	1	0	5	4	2	5	0	1	0	9	1	1	0	0	2	0	4	0	0	3	0	1	0	0	0	0	1	0	3	0	0	0	6	2	0	0	0	1	1	1	1	1	0	0	1	2	0	0	4	2	0	5	4	5	0	0	4	3	0	1	1	3	1	0	0	8	0	0	2	1	1	1	1	0	2	3	2	4	5	5	2	0	1	0	0	0	1	2	0	0	1	0	0	2	1	2	0
Google Operating System	0	7	0	0	3	11	0	0	3	0	1	2	2	2	1	2	1	4	2	2	1	1	0	0	1	1	6	0	0	1	0	0	8	4	0	0	0	1	1	1	1	1	4	6	1	0	2	2	1	2	0	0	13	11	1	2	1	0	0	0	0	14	0	3	1	4	1	0	0	9	4	0	1	4	5	0	1	16	10	3	1	5	0	0	3	3	1	1	2	5	0	0	1	5	0	1	1	1	5	2	0	3	2	0	0	0	2	3	3	6	4	4	1	0	8	2	16	1	2	2	1	0	1	6	0	3	2	23	0	2	5	7	16	0	2	5	0	0	10	4	3	0	1	1	1	0	10	0	20	1	0	2	1	2	0	4	1	1	1	0	2	2	0	1	1	1	2	3	5	0	0	2	6	2	0	7	0	0	2	2	1	4	3	0	2	0	1	0	0	13	2	10	0	6	0	0	4	24	0	0	0	0	0	1	0	0	0	2	0	2	3	3	1	0	1	0	1	0	0	11	2	2	4	0	5	0	1	3	0	0	0	1	2	0	11	3	0	0	5	1	0	0	0	2	0	15	0	0	0	2	4	0	3	9	0	3	0	5	2	2	0	0	53	0	3	0	0	2	0	0	0	0	4	3	1	0	3	0	0	0	108	1	4	1	7	3	3	0	0	17	10	0	7	0	1	0	3	1	1	1	0	4	1	0	1	0	0	1	1	0	0	1	0	2	1	2	0	0	6	15	0	1	0	1	2	0	5	3	3	0	1	1	0	0	0	0	0	2	27	7	3	7	1	0	1	0	0	0	0	0	0	0	11	2	0	1	3	5	0	9	7	22	1	2	2	7	3	12	1	1	1	0	0	1	13	1	9	3	4	2	0	2	0	0
Celebslam	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
Mashable	1	6	3	2	4	0	2	2	6	9	5	2	1	1	8	2	2	4	7	3	2	3	1	2	1	2	9	6	2	6	0	0	9	2	5	1	1	4	0	0	4	2	2	2	2	4	1	5	3	3	9	1	15	17	0	7	1	0	0	1	1	67	4	5	0	0	0	1	0	23	1	0	1	21	1	0	3	10	16	2	2	20	3	1	0	10	2	3	6	1	0	1	1	0	2	6	0	0	4	4	3	1	3	3	1	4	6	3	7	6	0	4	5	0	8	4	6	2	1	0	3	0	5	11	1	1	3	10	0	7	2	8	6	5	8	8	1	1	5	1	6	2	3	30	0	1	7	1	17	3	0	2	0	2	2	0	0	3	2	3	1	1	4	0	2	0	2	3	2	0	2	0	5	1	1	4	1	0	1	4	0	2	1	2	1	2	2	6	1	7	3	2	5	5	4	0	5	11	1	0	2	0	5	2	0	2	0	1	0	0	1	0	2	3	2	3	3	0	2	10	5	1	10	0	4	1	2	0	0	3	4	6	2	0	0	0	2	3	2	4	1	5	1	3	7	2	1	0	0	3	2	1	1	0	3	1	0	2	1	0	3	3	1	5	2	4	2	4	1	1	0	1	1	2	1	0	0	0	3	2	9	1	3	0	1	2	4	2	0	11	36	6	13	0	5	0	8	0	2	2	0	0	0	3	1	0	0	0	1	0	0	1	1	3	0	3	2	2	1	7	0	4	0	3	1	0	1	0	4	0	2	1	3	1	0	1	0	0	6	7	15	1	0	1	0	1	0	3	9	2	0	1	23	1	1	0	0	2	1	1	1	7	2	8	7	11	5	6	5	1	0	0	1	2	12	0	3	7	4	2	4	2	3	0
TechCrunch	0	0	0	0	0	3	2	2	0	0	0	0	3	0	1	1	1	0	2	0	0	1	0	0	0	9	2	1	0	1	3	0	2	0	0	2	0	1	0	0	0	2	0	0	3	1	1	2	1	0	0	0	4	6	2	0	0	2	0	0	0	26	12	20	0	1	1	2	2	4	0	0	0	0	1	0	5	5	6	2	3	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	1	1	0	2	0	2	0	1	0	1	0	8	4	0	4	1	0	2	3	2	1	0	6	0	2	0	1	4	0	3	2	0	0	0	0	2	0	0	20	1	1	3	2	5	1	1	1	0	0	0	1	0	4	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	8	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	16	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	20	0	0	0	2	2	0	2	1	1	0	2	1	0	0	2	3	0	1	2	3	1	0	0	0	0	1	0	4	2	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	9	1	2	0	1	1	4	0	0	0	5	0	4	2	1	0	0	0	2	3	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	6	0	0	1	0	0	0	1	0	0	0	1	0	0	3	0	1	6	2	3	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	5	3	3	1	0	0	2	1	4	0	1	2	0	2	3	3	0	4	3	0	1	0	0	1	0
Quick Online Tips	0	3	0	0	2	0	16	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	5	10	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	2	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	2	7	1	0	0	3	11	0	5	2	0	1	0	2	0	0	0	3	3	0	1	0	1	0	2	0	0	1	0	13	0	0	1	0	11	0	0	0	0	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	1	8	1	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	10	0	1	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	20	0	0	0	0	1	5	0	0	1	0	3	2	0	1	0	1	1	0	0	0	0	0	0	3	0	0	0	6	0	0	1	0	10	0	0	0	0	0	0	10	1	0	0	18	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	11	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	0	4	0	0	2	0	1	0	1	1	1	5	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	6
Oilman	0	0	0	0	0	0	3	0	3	0	0	1	3	1	0	2	0	1	4	0	1	0	2	0	0	0	4	1	0	0	0	2	2	0	0	0	2	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	1	0	0	0	2	1	0	0	1	3	1	0	3	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	4	0	1	0	0	0	1	2	2	1	0	0	0	0	0	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	22	1	0	4	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	2	0	1	0	4	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	3	0	0	3	2	0	1	0	1	2	6	0	0	1	1	0	0	0	0	1	2	1	0	2	0	0	1	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	2	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	0
Guy Kawasaki	0	1	0	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	2	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	2	1	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	6	0	0	0	1	0	0	0	12	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	2	2	2	0	1	1	3	0	1	0	3	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	3	0	1	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	10	0	0	3	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	3	0	3	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	3	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	3	6	2	3	0	0	0	0	0	0	0	0	3	0	8	1	0	0	0	0	2	0	1	3	0	0	0	0	3	0	2	4	0	0	1	0	1	0	1	0	0	3	0	1	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	0	2	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	4	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0	5	2	0	0	4	0	6	6	0	8	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	1	7	4	0	0	1	5	0	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	3	1	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
